Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),,MAF,km3,,
Emigrant Highway Dike,,,OR00581,S002,OR00581S002,RECLAMATION,Federal,Federal,0,Yes,RECLAMATION,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation,Bureau of Reclamation,,42.151,-122.621,Oregon,Jackson,ASHLAND,5,EMIGRANT CREEK,"Oregon, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,90,73,90,90,51-100 feet,1500,0,1960,1960-1969,,46700,46700,39000,806,,,,,
Emigrant Spillway Dike,,,OR00581,S003,OR00581S003,RECLAMATION,Federal,Federal,0,Yes,RECLAMATION,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation,Bureau of Reclamation,,42.1604,-122.6168,Oregon,Jackson,ASHLAND,6,EMIGRANT CREEK,"Oregon, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,14,15,16,16,Less than 25 feet,220,0,1960,1960-1969,,46700,46700,39000,806,,,,,
Emigrant,E-1,,OR00581,,OR00581,RECLAMATION,Federal,Federal,3,No,RECLAMATION,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Recreation,Bureau of Reclamation,,42.1618,-122.6052,Oregon,Jackson,ASHLAND,6,"EMIGRANT CREEK, HYATT & HOWARD PRAIRIE RES","Oregon, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,,No,N/A,Earth,Earth,Bituminous Concrete,Rock,204,203,204,204,Greater than 100 feet,750,1563000,1960,1960-1969,1960,46700,46700,39000,806,,,,,
Pishkun Dike 1,,,MT00575,S001,MT00575S001,RECLAMATION,Federal,Federal,0,Yes,RECLAMATION,No,Irrigation,Irrigation,Bureau of Reclamation,,47.6923,-112.454,Montana,Teton,CHOTEAU,20,DEEP CREEK TR,"Montana, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,50,37,50,50,51-100 feet,2480,599000,1930,1930-1939,,46670,46670,46670,1550,,,,,
Pishkun Dike 6,,,MT00575,S005,MT00575S005,RECLAMATION,Federal,Federal,0,Yes,,No,Irrigation,Irrigation,Bureau of Reclamation,,47.6746,-112.5038,Montana,Teton,CHOTEAU,25,DEEP CREEK TR,"Montana, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,16,5,16,16,Less than 25 feet,460,599000,1931,1930-1939,,46670,46670,46670,1550,,,,,
Pishkun Dike 3,,,MT00575,S003,MT00575S003,RECLAMATION,Federal,Federal,0,Yes,,No,Irrigation,Irrigation,Bureau of Reclamation,,47.6709,-112.4857,Montana,Teton,CHOTEAU,22,DEEP CREEK TR,"Montana, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,26,28,28,28,25-50 feet,2300,599000,1931,1930-1939,,46670,46670,46670,1550,,,,,
Pishkun Dike 5,,,MT00575,S004,MT00575S004,RECLAMATION,Federal,Federal,0,Yes,RECLAMATION,No,Irrigation,Irrigation,Bureau of Reclamation,,47.6746,-112.5021,Montana,Teton,CHOTEAU,25,DEEP CREEK TR,"Montana, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,11,1,11,11,Less than 25 feet,310,599000,1931,1930-1939,1940,46670,46670,46670,1550,,,,,
Pishkun Dike 2,,,MT00575,S002,MT00575S002,RECLAMATION,Federal,Federal,0,Yes,,No,Irrigation,Irrigation,Bureau of Reclamation,,47.6882,-112.4478,Montana,Teton,CHOTEAU,20,DEEP CREEK TR,"Montana, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,35,22,22,35,25-50 feet,1000,599000,1931,1930-1939,,46670,46670,46670,1550,,,,,
Pishkun Dike 8,,,MT00575,S007,MT00575S007,RECLAMATION,Federal,Federal,0,Yes,RECLAMATION,No,Irrigation,Irrigation,Bureau of Reclamation,,47.6959,-112.4788,Montana,Teton,CHOTEAU,25,DEEP CREEK TR,"Montana, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,16,3,13,16,Less than 25 feet,150,599000,1931,1930-1939,,46670,46670,46670,1550,,,,,
Pishkun Dike 7,,,MT00575,S006,MT00575S006,RECLAMATION,Federal,Federal,0,Yes,,No,Irrigation,Irrigation,Bureau of Reclamation,,47.6768,-112.5042,Montana,Teton,CHOTEAU,25,DEEP CREEK TR,"Montana, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,16,3,13,16,Less than 25 feet,720,599000,1931,1930-1939,,46670,46670,46670,1550,,,,,
Pishkun Dike 4,,,MT00575,,MT00575,RECLAMATION,Federal,Federal,7,No,,No,Irrigation,Irrigation,Bureau of Reclamation,,47.6761,-112.4954,Montana,Teton,CHOTEAU,25,DEEP CREEK TR,"Montana, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Earth,Earth,Bituminous Concrete,Rock,30,38,38,38,25-50 feet,1580,599000,1931,1930-1939,1998S,46670,46670,46670,1550,,,,,
Lake Milton Dam,,,OH00419,,OH00419,"ODNR, Division of Parks & Watercraft",State,State,0,No,"J.W. LEDOUX, CONSULTANT",,Recreation,Recreation;Water Supply,Ohio,1107-001,41.12722222,-80.97777778,Ohio,Mahoning,NEWTON FALLS,5.3,MAHONING RIVER,"Ohio, Congressional District 06",Yes,Yes,Department of Natural Resources,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,53,,,53,51-100 feet,2840,250000,1916,1910-1919,,46605,46605,21600,1780,,,,,
Lake Manatee Dam,Lake Manatee Reservoir Dam,,FL00280,,FL00280,MANATEE COUNTY,Local Government,Local Government,0,No,,No,Water Supply,Water Supply;Recreation,Florida,FL00000280,27.4937,-82.3547,Florida,Manatee,BRADENTON,3,MANATEE RIVER,"Florida, Congressional District 16",Yes,Yes,SWFWMD,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,54,54,50,54,51-100 feet,4700,46600,1967,1960-1969,,46600,46600,22700,1000,,,,,
Black Bayou Dam,Black Lake Dam,,LA00003,,LA00003,Black Bayou Watershed Commission,Local Government,Local Government,0,No,LA Dept of Public Works,No,Recreation,Recreation,Louisiana,09-00003,32.88236,-93.89503,Louisiana,Caddo,Hosston       ,1,Black Bayou,"Louisiana, Congressional District 04",Yes,Yes,LA DOTD,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,20,29,36,36,25-50 feet,1400,57000,1955,1950-1959,1962,46500,46500,17750,3860,,,,,
Plant Wansley Main Storage Lake Dam,,,GA04461,,GA04461,Southern Company Services,Private,Private,0,No,UNKNOWN,No,Water Supply,Water Supply,Georgia,022-082-04558,33.426667,-85.030556,Georgia,Carroll,,,YELLOW DIRT CREEK,"Georgia, Congressional District 03",Yes,Yes,GA-SAFE DAMS PROGRAM,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,121,,,121,Greater than 100 feet,15840,,1975,1970-1979,,46460,46460,34000,606,,,,,
Massabesic Lake Dam,,,NH00103,,NH00103,MANCHESTER WATER WORKS,Local Government,Local Government,0,No,,,Water Supply,Water Supply,New Hampshire,D150006,42.963,-71.3955,New Hampshire,Hillsborough,MANCHESTER,,COHAS BROOK,"New Hampshire, Congressional District 01",Yes,Yes,NH DES,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete,,,30,,,30,25-50 feet,500,,1873,Before 1900,2022,46375,46375,2694,2658,,,,,
Swauano Creek Dam,,,TX04357,,TX04357,AEP UTILITIES WEST,Private,Private,0,No,FREESE AND NICHOLS AND  ENDRESS,No,Other,Other,Texas,TX04357,33.04451,-94.832121,Texas,Titus,,,SWAUANO CREEK,"Texas, Congressional District 01",Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Concrete,Soil,61,61,61,61,51-100 feet,4720,723000,1975,1970-1979,,46371,46371,23590,1365,,,,,
Gross                                                            ,,,CO00247,,CO00247,Denver Water,Local Government,Local Government,1,No,,No,Hydroelectric,Hydroelectric;Water Supply,Federal Energy Regulatory Commission,02035-01-01,39.948,-105.3579,Colorado,Boulder,Eldorado Springs                                  ,7,South Boulder Creek           ,"Colorado, Congressional District 02",Yes,Yes,DWR,Yes,Yes,Yes,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Concrete,Concrete;Arch;Gravity,,,340,350,340,350,Greater than 100 feet,1050,,1955,1950-1959,,46200,46200,41000,413,,,,,
"Cth ""E"" Dike                                                     ",,,WI00775,S003,WI00775S003,Wisconsin Valley Improvement Company,Public Utility,Public Utility,6,Yes,,No,Hydroelectric,Hydroelectric;Flood Risk Reduction,Federal Energy Regulatory Commission,02113-13-04,45.8377,-89.5472,Wisconsin,Oneida,,,Wisconsin River               ,"Wisconsin, Congressional District 07",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth,Earth,Soil,24,,,24,Less than 25 feet,1650,,1935,1930-1939,,46006,46006,,,,,,,
Jim Hall Dike                                                    ,,,WI00775,S004,WI00775S004,Wisconsin Valley Improvement Company,Public Utility,Public Utility,6,Yes,,No,Hydroelectric,Hydroelectric;Flood Risk Reduction,Federal Energy Regulatory Commission,02113-13-05,45.8577,-89.5394,Wisconsin,Oneida,,,Wisconsin River               ,"Wisconsin, Congressional District 07",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth,Earth,Soil,22,,,22,Less than 25 feet,1550,,1935,1930-1939,,46006,46006,,,,,,,
Pickerel Control Structure     ,,,WI00775,S002,WI00775S002,Wisconsin Valley Improvement Company,Public Utility,Public Utility,6,Yes,,No,Hydroelectric,Hydroelectric;Flood Risk Reduction,Federal Energy Regulatory Commission,02113-13-03,45.8717,-89.53,Wisconsin,Oneida,Rhinelander                                       ,26,St Germain River              ,"Wisconsin, Congressional District 07",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Gravity,Gravity;Concrete;Earth,Earth,Soil,21,10,,21,Less than 25 feet,182,,1935,1930-1939,,46006,46006,,,,,,,
Sawyer Dike                                                      ,,,WI00775,S001,WI00775S001,Wisconsin Valley Improvement Company,Public Utility,Public Utility,6,Yes,,No,Hydroelectric,Hydroelectric;Flood Risk Reduction,Federal Energy Regulatory Commission,02113-13-02,45.8325,-89.5328,Wisconsin,Oneida,,,Wisconsin River               ,"Wisconsin, Congressional District 07",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth,Metal,Soil,20,,,20,Less than 25 feet,800,,1935,1930-1939,,46006,46006,,,,,,,
Rainbow                                                          ,"Cth ""D"" Dam",,WI00775,,WI00775,Wisconsin Valley Improvement Company,Public Utility,Public Utility,6,No,,No,Hydroelectric,Hydroelectric;Flood Risk Reduction,Federal Energy Regulatory Commission,02113-13-01,45.8338,-89.5457,Wisconsin,Oneida,Rhinelander                                       ,25,Wisconsin River               ,"Wisconsin, Congressional District 07",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Gravity,Gravity;Concrete;Earth,Earth,Soil,39,,,39,25-50 feet,1800,,1935,1930-1939,,46006,46006,,,,,,,
Merrill Creek Res. Se Dike,,,NJ00885,,NJ00885,Merrill Creek Owners Group,Private,Private,0,No,,,Other,Other,New Jersey,24-121,40.73128333,-75.09008333,New Jersey,Warren,,,Merrill Creek,"New Jersey, Congressional District 07",Yes,Yes,NJDEP,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth;Gravity,,,39,,,39,25-50 feet,1140,,,Undetermined,,46000,,46000,690,,,,,
Merrill Creek Northwest Dike 2,,,NJ00884,,NJ00884,Merrill Creek Owners Group,Private,Private,0,No,,,Other,Other,New Jersey,24-122,40.74478333,-75.1065,New Jersey,Warren,,,Merrill Creek,"New Jersey, Congressional District 07",Yes,Yes,NJDEP,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth;Gravity,,,20,,,20,Less than 25 feet,1200,,,Undetermined,,46000,,46000,690,,,,,
Merrill Creek Main Dam,,,NJ00864,,NJ00864,Merrill Creek Owners Group,Private,Private,0,No,,,Other,Other,New Jersey,24-90,40.72715,-75.1029,New Jersey,Warren,,,Merrill Creek,"New Jersey, Congressional District 07",Yes,Yes,NJDEP,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth;Gravity,,,280,,,280,Greater than 100 feet,1140,,1988,1980-1989,,46000,,46000,690,,,,,
Portugues Dam,Portugues Dam,Portugues Dam,PR00079,,PR00079,NATURAL RESOURCES AND ENVIRONMENTAL DEPT.,State,State,0,No,"CORPS OF ENGINEERS, JACKSONVILLE DISTRICT",No,Flood Risk Reduction,Flood Risk Reduction;Recreation,Puerto Rico,,18.062,-66.633003,Puerto Rico,Ponce,PONCE,3,PORTUGUES RIVER,"Puerto Rico, Congressional District 00",Yes,Yes,PREPA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Arch;Gravity,,Rock,220,216,220,220,Greater than 100 feet,1230,367000,2015,Since 2000,,46000,46000,2840,71,,,,,
Merrill Creek Northwest Dike 1,,,NJ00883,,NJ00883,Merrill Creek Owners Group,Private,Private,0,No,,,Other,Other,New Jersey,24-123,40.74028333,-75.10953333,New Jersey,Warren,,,Merrill Creek,"New Jersey, Congressional District 07",Yes,Yes,NJDEP,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth;Gravity,,,20,,,20,Less than 25 feet,800,,,Undetermined,,46000,,46000,690,,,,,
Holcombe Dike                                                    ,,,WI00732,S001,WI00732S001,Northern States Power Co,Public Utility,Public Utility,3,Yes,,No,Hydroelectric,Hydroelectric;Recreation,Federal Energy Regulatory Commission,01982-01-02,45.23,-91.1201,Wisconsin,Chippewa,,,Chippewa River                ,"Wisconsin, Congressional District 07",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth,Earth,Soil,40,,,40,25-50 feet,,,1907,1900-1909,,46000,46000,46000,4300,,,,,
Callahan Dike                                                    ,,,WI00732,S002,WI00732S002,Northern States Power Co,Public Utility,Public Utility,3,Yes,,No,Hydroelectric,Hydroelectric;Recreation,Federal Energy Regulatory Commission,01982-01-03,45.2617,-91.1011,Wisconsin,Chippewa,,,Chippewa River                ,"Wisconsin, Congressional District 07",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth,Earth,Soil,40,,,40,25-50 feet,,,1907,1900-1909,,46000,46000,46000,4300,,,,,
Holcombe                                                         ,,,WI00732,,WI00732,Northern States Power Co,Public Utility,Public Utility,3,No,,No,Hydroelectric,Hydroelectric;Recreation,Federal Energy Regulatory Commission,01982-01-01,45.2247,-91.1279,Wisconsin,Chippewa,Holcombe                                          ,1,Chippewa River                ,"Wisconsin, Congressional District 07",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Gravity,Gravity;Earth,Earth,Soil,60,,,60,51-100 feet,6100,,1950,1950-1959,,46000,46000,46000,4300,,,,,
Mountain Island                                                  ,,,NC00787,,NC00787,Duke Energy,Public Utility,Public Utility,1,No,CATAWBA MANUFACTURING AND ELECTRIC POWER COMPANY,No,Hydroelectric,Hydroelectric;Water Supply,Federal Energy Regulatory Commission,02232-06-01,35.335797,-80.984835,North Carolina,Gaston,Mount Holly                                       ,3,Catawba River                 ,"North Carolina, Congressional District 14",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Gravity,Gravity;Earth,Concrete,Rock,140,95,95,140,Greater than 100 feet,2375,,1923,1920-1929,,45970,45970,45970,3235,,,,,
Elwood Dam,,,NE01680,,NE01680,Central Nebraska Public Power & Irrigation District,Public Utility,Public Utility,0,No,CEN NE PUB PWR & IR DIST,No,Irrigation,Irrigation,Nebraska,,40.63637456,-99.85311707,Nebraska,Gosper,KEARNEY                     ,51,TR-PLUM CREEK               ,"Nebraska, Congressional District 03",Yes,Yes,NE DNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,100,95,118,118,Greater than 100 feet,3980,0,1976,1970-1979,,45950,45950,37956,1145,,,,,
San Gabriel,,,CA00200,,CA00200,Los Angeles County Flood Control District,Local Government,Local Government,1,No,,No,Hydroelectric,Hydroelectric;Flood Risk Reduction,Federal Energy Regulatory Commission,08764-01-01,34.2065,-117.8592,California,Los Angeles,Azusa                                             ,2,San Gabriel River             ,"California, Congressional District 31",Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Earth,Earth;Rockfill,,Soil,320,292,381,381,Greater than 100 feet,1500,,1937,1930-1939,,45832,45832,3378,,,,,,
Grand Lake (Matagamon),Grand Lake,Mattagamon,ME00180,,ME00180,Mattagamon Lake Association,Private,Private,0,No,,No,Hydroelectric,Hydroelectric;Other,Maine,45,46.1411,-68.790438,Maine,Penobscot,,,Penobscot River,"Maine, Congressional District 02",Yes,Yes,MEMA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Gravity,,,25,15,25,25,25-50 feet,218,,1941,1940-1949,1959,45800,45800,41400,4200,,,,,
Lake Lemon Dam,,,IN00010,,IN00010,Bob Madden,Local Government,Local Government,0,No,HARZA ENGINEERING FOR CONSOER TOWNSEND,No,Water Supply,Water Supply;Recreation,Indiana,53-1,39.27244208,-86.42687712,Indiana,Monroe,,7,BEANBLOSSOM CREEK,"Indiana, Congressional District 09",Yes,Yes,IDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Unlisted/Unknown,51,43,51,51,51-100 feet,660,,1952,1950-1959,,45700,45700,13300,1650,,,,,
Guernsey,,,WY01293,,WY01293,RECLAMATION,Federal,Federal,0,No,RECLAMATION,No,Hydroelectric,Hydroelectric;Irrigation,Bureau of Reclamation,,42.2903,-104.7642,Wyoming,Platte,GUERNSEY,1,NORTH PLATTE RIVER,"Wyoming, Congressional District 00",Yes,Yes,SEO,Yes,Yes,Yes,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,,No,N/A,Earth,Earth,Earth,Soil,135,92,135,135,Greater than 100 feet,560,586200,1926,1920-1929,1984S;2016S,45612,45612,45612,2380,,,,,
Wallisville Lock and Dam,,,TX07102,,TX07102,USACE - Galveston District,Federal,Federal,0,No,CESWG,No,Other,Other;Fish and Wildlife Pond;Recreation;Water Supply,US Army Corps of Engineers,TX07102,29.81189031,-94.73145963,Texas,Chambers,WALLISVILLE,0,TRINITY RIVER,"Texas, Congressional District 36",Yes,Yes,TCEQ,Yes,Yes,Yes,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,Earth,Soil,16,16,16,16,Less than 25 feet,30000,0,2000,Since 2000,,45600,45600,0,0,,,,,
Homestake Project,"Homestake Dam, John P Elliott Dam",,CO00673,,CO00673,HOMESTAKE PROJECT (TOM HANKINS),Local Government,Local Government,0,No,BECHTEL CORPORATION;BLACK AND VEATCH;WOODWARD CLYDE,Yes,Water Supply,Water Supply,Colorado,370109,39.368338,-106.463904,Colorado,Eagle,MINTURN,16,MIDDLE FORK HOMESTAKE,"Colorado, Congressional District 02",Yes,Yes,DWR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Rockfill,Rockfill,Bituminous Concrete,Rock,231,231,265,265,Greater than 100 feet,1996,3129340,1967,1960-1969,1996O,45500,45500,42900,333,,,,,
F3b Four Corners Mine,,,FL11051,,FL11051,THE MOSAIC COMPANY,Private,Private,0,No,ARDAMAN & ASSOCIATES,No,Tailings,Tailings,Florida,FL11051,27.6192,-82.095497,Florida,Manatee,DUETTE,0,MYAKKA RIVER,"Florida, Congressional District 16",Yes,Yes,FDEP,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,65,60,68,68,51-100 feet,15600,7652000,2005,Since 2000,,45500,45500,44100,735,,,,,
Crane Valley,Bass Lake,,CA00337,,CA00337,Pacific Gas and Electric Company,Private,Private,1,No,,Yes,Hydroelectric,Hydroelectric;Recreation,Federal Energy Regulatory Commission,01354-01-01,37.2923,-119.5292,California,Madera,North Fork,6,North Fork Willow Creek       ,"California, Congressional District 05",Yes,Yes,"DWR, Safety of Dams",Yes,Yes,Yes,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,,,Unlisted/Unknown,Unlisted/Unknown,145,141,145,145,Greater than 100 feet,1880,,1910,1910-1919,,45410,45410,45400,1165,,,,,
Santa Fe Dam,Santa Fe Reservoir,,CA10024,,CA10024,USACE - Los Angeles District,Federal,Federal,0,No,CESPL,No,Flood Risk Reduction,Flood Risk Reduction;Recreation;Water Supply,US Army Corps of Engineers,CA10024,34.113331,-117.9683,California,Los Angeles,EL MONTE,,SAN GABRIEL RIVER,"California, Congressional District 31",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,,,92,87,,92,51-100 feet,23800,0,1949,1940-1949,,45409,45409,0,1,,,,,
Desoto Dam,,,IA03163,,IA03163,US FISH AND WILDLIFE SERVICE,Federal,Federal,0,No,U.S. Army Corps of Engineers,No,Fish and Wildlife Pond,Fish and Wildlife Pond;Recreation,Fish and Wildlife Service,IA03163,41.49139,-96.017227,Iowa,Pottawattamie,,,Missouri River,"Iowa, Congressional District 04",No,No,,No,No,No,Yes,Fish and Wildlife Service,,US Army Corps of Engineers,US Army Corps of Engineers,Fish and Wildlife Service,Fish and Wildlife Service,Fish and Wildlife Service,,No,N/A,Earth,Earth,Earth,Soil,25,15,25,25,25-50 feet,2950,176900,1960,1960-1969,1969S;1985H,45400,45400,7261,1900,,,,,
Millinocket Lake                                                 ,,,ME00205,,ME00205,,Not Listed,Not Listed,1,No,,No,Hydroelectric,Hydroelectric;Navigation;Fish and Wildlife Pond;Recreation;Water Supply;Flood Risk Reduction,Federal Energy Regulatory Commission,02458-05-01,45.742207,-68.733543,Maine,Penobscot,Millinocket                                       ,6,Millinocket Stream            ,"Maine, Congressional District 02",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Concrete,Concrete;Earth;Gravity,,,20,,,20,Less than 25 feet,635,,1910,1910-1919,,45370,45370,45370,8640,,,,,
Decker Creek Dam,,,TX01089,,TX01089,CITY OF AUSTIN,Local Government,Local Government,0,No,BROWN AND ROOT INC,No,Recreation,Recreation;Other,Texas,TX01089,30.28545,-97.597074,Texas,Travis,,,DECKER CREEK,"Texas, Congressional District 35",Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Metal,Rock;Soil,75,75,83,83,51-100 feet,6390,,1967,1960-1969,,45200,45200,33940,1269,,,,,
Cobbs Creek Regional Water Supply Reservoir Saddle Dam (Dam B),,,VA049059,,VA049059,"Henrico County, Department of Public Works",Public Utility,Public Utility,0,No,"Schnabel Engineering, Inc.",,Water Supply,Water Supply,Virginia,49059,37.7236,-78.1899,Virginia,Cumberland,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,,,,,,,0,Undetermined,3850,,,Undetermined,,45160,,45160,1120,,,,,
West Fork Bitterroot (Painted Rocks),Painted Rocks,,MT00019,,MT00019,STATE WATER PROJECTS,State,State,0,No,,No,Irrigation,Irrigation,Montana,,45.7174,-114.2814,Montana,Ravalli,DARBY,30,WEST FORK OF BITTERROOT,"Montana, Congressional District 01",Yes,Yes,DNRC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,Rock,143,143,,143,Greater than 100 feet,800,,1940,1940-1949,,45100,45100,31706,655,,,,,
Lake Chicot Dam North,,,AR00988,,AR00988,ARKANSAS GAME AND FISH COMMISSION,State,State,0,No,,No,Recreation,Recreation,Arkansas,,33.36666667,-91.255,Arkansas,Chicot,LAKE VILLAGE,0,MISSISSIPPI RIVER-OS,"Arkansas, Congressional District 01",No,No,,No,No,No,No,,,,,,,,,No,N/A,Rockfill,Rockfill;Earth,,,22,13,22,22,Less than 25 feet,2508,0,1942,1940-1949,,45080,45080,26000,,,,,,
